epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.411,0.59283,2.31736,0.93712,0.32294,0.67596,0.38801,0.33079,0.43526,16.6038,0.76884,0.00041403,0.00041403,0.00041403
2,448.364,0.59818,1.42224,0.91288,0.46364,0.66971,0.56901,0.48364,0.48113,11.0672,0.80123,0.000814248,0.000814248,0.000814248
3,529.881,0.58193,1.12984,0.90853,0.53161,0.692,0.63091,0.53344,0.48461,4.28259,0.79065,0.00119797,0.00119797,0.00119797
4,612.183,0.57354,0.93332,0.90888,0.52045,0.63746,0.59289,0.47529,0.44484,4.24035,0.78077,0.00117575,0.00117575,0.00117575
5,697.154,0.54634,0.81389,0.89556,0.73416,0.75836,0.74242,0.62623,0.44156,3.99663,0.78351,0.001151,0.001151,0.001151
6,781.378,0.55015,0.75464,0.89946,0.75681,0.78628,0.76974,0.64141,0.41852,1.99814,0.76696,0.00112625,0.00112625,0.00112625
7,864.877,0.52424,0.64796,0.89319,0.65922,0.68954,0.69376,0.56964,0.44781,1.49922,0.7872,0.0011015,0.0011015,0.0011015
8,946.568,0.51909,0.61109,0.88924,0.77404,0.73468,0.79868,0.65754,0.41755,3.05248,0.76593,0.00107675,0.00107675,0.00107675
9,1028.44,0.49945,0.57261,0.88306,0.87515,0.83214,0.91664,0.7515,0.413,0.71552,0.76555,0.001052,0.001052,0.001052
10,1111.31,0.50378,0.54684,0.88765,0.76625,0.77439,0.78857,0.69082,0.38927,0.81747,0.75749,0.00102725,0.00102725,0.00102725
11,1195.57,0.48284,0.53632,0.88059,0.8033,0.83144,0.88021,0.74328,0.39714,0.8529,0.76188,0.0010025,0.0010025,0.0010025
12,1278.32,0.47878,0.49522,0.88342,0.78952,0.84857,0.8688,0.74654,0.38435,0.55997,0.75866,0.00097775,0.00097775,0.00097775
13,1361.33,0.48517,0.49552,0.87995,0.84759,0.89068,0.90383,0.76362,0.38858,0.59729,0.75894,0.000953,0.000953,0.000953
14,1441.45,0.48079,0.48656,0.88097,0.87286,0.80647,0.90258,0.76985,0.39353,0.62639,0.76177,0.00092825,0.00092825,0.00092825
