epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3267,0.60604,2.34849,0.96635,0.44759,0.57509,0.49463,0.43045,0.34406,33.8082,0.63523,0.00041351,0.00041351,0.00041351
2,134.111,0.57216,1.40653,0.91988,0.3805,0.34589,0.28202,0.23173,0.39353,38.4415,0.65886,0.000789083,0.000789083,0.000789083
3,186.314,0.59343,1.16245,0.92158,0.51544,0.67992,0.59211,0.51171,0.37672,29.0762,0.64666,0.00112341,0.00112341,0.00112341
4,239.457,0.55115,0.95244,0.90959,0.42044,0.66272,0.54478,0.46835,0.38235,6.9696,0.63943,0.00106437,0.00106437,0.00106437
5,293.401,0.53477,0.81601,0.90499,0.63248,0.73657,0.7102,0.62774,0.3353,7.65347,0.62567,0.0010025,0.0010025,0.0010025
6,348.116,0.51181,0.71958,0.89404,0.76297,0.77872,0.81253,0.71811,0.34509,1.77808,0.629,0.000940625,0.000940625,0.000940625
7,402.321,0.52389,0.67421,0.8982,0.63311,0.79382,0.81126,0.71221,0.35676,5.1377,0.63505,0.00087875,0.00087875,0.00087875
8,456.223,0.48989,0.60754,0.88643,0.77697,0.81051,0.88003,0.78627,0.32965,2.50449,0.6208,0.000816875,0.000816875,0.000816875
9,510.252,0.48775,0.54184,0.88449,0.72936,0.77565,0.81761,0.72953,0.32097,17.2407,0.62593,0.000755,0.000755,0.000755
10,563.69,0.46938,0.49611,0.88256,0.86031,0.82707,0.89654,0.80847,0.3129,1.16407,0.61806,0.000693125,0.000693125,0.000693125
11,617.718,0.42639,0.37119,0.83512,0.83899,0.79425,0.84667,0.75062,0.32768,6.50843,0.62346,0.00063125,0.00063125,0.00063125
12,669.117,0.4151,0.35835,0.83074,0.72525,0.77176,0.87341,0.77564,0.30937,3.96071,0.6207,0.000569375,0.000569375,0.000569375
13,720.493,0.40045,0.31928,0.82633,0.88628,0.7744,0.90751,0.8183,0.30956,3.89883,0.61805,0.0005075,0.0005075,0.0005075
14,771.139,0.39194,0.302,0.82349,0.76411,0.72421,0.76749,0.6915,0.30724,10.0716,0.61646,0.000445625,0.000445625,0.000445625
15,822.724,0.38936,0.28696,0.81928,0.84553,0.8381,0.85581,0.77008,0.29127,7.49331,0.61046,0.00038375,0.00038375,0.00038375
16,873.515,0.38227,0.26826,0.82212,0.81792,0.83511,0.86359,0.78318,0.29829,2.25723,0.61202,0.000321875,0.000321875,0.000321875
17,925.975,0.37531,0.25757,0.82345,0.79005,0.88767,0.87811,0.80283,0.2915,6.39218,0.61147,0.00026,0.00026,0.00026
18,977.723,0.3693,0.24573,0.81721,0.84043,0.89718,0.89181,0.81556,0.28708,4.46112,0.60986,0.000198125,0.000198125,0.000198125
19,1027.93,0.35891,0.22868,0.80926,0.88995,0.86327,0.88291,0.80356,0.28475,4.29805,0.60789,0.00013625,0.00013625,0.00013625
20,1078.88,0.3529,0.2183,0.81222,0.84845,0.8844,0.88178,0.80969,0.27864,5.59411,0.60759,7.4375e-05,7.4375e-05,7.4375e-05
