epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.769,0.59283,2.31736,0.93712,0.3245,0.67131,0.38847,0.33141,0.42078,23.5069,0.72169,0.00041403,0.00041403,0.00041403
2,353.166,0.60115,1.42804,0.91482,0.55739,0.65387,0.5646,0.47966,0.44661,13.5684,0.73514,0.000822472,0.000822472,0.000822472
3,433.802,0.57437,1.11362,0.90857,0.57031,0.78033,0.64061,0.53781,0.47476,8.72263,0.73832,0.00122267,0.00122267,0.00122267
4,517.256,0.57887,0.93425,0.91067,0.57036,0.65053,0.62147,0.53217,0.4443,10.121,0.73692,0.00121287,0.00121287,0.00121287
5,600.32,0.55248,0.77403,0.8971,0.69044,0.75638,0.7463,0.62532,0.42795,5.44492,0.73218,0.0012005,0.0012005,0.0012005
6,684.908,0.54637,0.72562,0.89696,0.79935,0.73959,0.82705,0.70648,0.40274,2.20334,0.72015,0.00118812,0.00118812,0.00118812
7,765.97,0.52883,0.66375,0.89465,0.67489,0.80824,0.77574,0.67306,0.40219,2.97406,0.71744,0.00117575,0.00117575,0.00117575
8,851.207,0.52828,0.63885,0.89147,0.82852,0.78598,0.85068,0.72034,0.3949,4.44076,0.71479,0.00116337,0.00116337,0.00116337
9,936.202,0.50341,0.57366,0.88392,0.7518,0.81152,0.83291,0.68842,0.43098,2.85516,0.72958,0.001151,0.001151,0.001151
10,1021.43,0.50945,0.55857,0.89018,0.84227,0.8258,0.85997,0.73848,0.39995,1.27527,0.71927,0.00113863,0.00113863,0.00113863
11,1105.31,0.49651,0.54772,0.88296,0.80811,0.85908,0.88591,0.75802,0.39691,1.18763,0.72131,0.00112625,0.00112625,0.00112625
12,1185.02,0.49115,0.53089,0.88888,0.73553,0.88911,0.86014,0.72796,0.38342,0.70659,0.7163,0.00111388,0.00111388,0.00111388
13,1266.56,0.49531,0.52256,0.88295,0.78633,0.81856,0.8593,0.7203,0.39048,2.61237,0.71814,0.0011015,0.0011015,0.0011015
14,1347.71,0.49024,0.4988,0.88518,0.78037,0.81487,0.85955,0.72482,0.38947,1.01074,0.71676,0.00108913,0.00108913,0.00108913
