epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1545,0.54631,1.69259,0.94092,0.60123,0.63407,0.61904,0.53437,0.46952,12.8578,0.77973,0.000414462,0.000414462,0.000414462
2,163.296,0.55213,0.94785,0.94774,0.66523,0.71946,0.6277,0.55452,0.47012,119.998,0.78395,0.000814672,0.000814672,0.000814672
3,230.889,0.54292,0.86047,0.94412,0.82388,0.61721,0.74733,0.65713,0.41458,16.6391,0.75445,0.00119838,0.00119838,0.00119838
4,299.355,0.54368,0.78913,0.94276,0.82357,0.79116,0.82581,0.71346,0.47464,9.54128,0.81009,0.00117575,0.00117575,0.00117575
5,368.229,0.50839,0.72445,0.92732,0.73462,0.81284,0.79704,0.70902,0.40907,2.60046,0.76842,0.001151,0.001151,0.001151
6,435.731,0.50402,0.68192,0.92785,0.73489,0.82831,0.81234,0.72916,0.3844,8.63,0.74738,0.00112625,0.00112625,0.00112625
7,503.265,0.4813,0.63703,0.91785,0.84221,0.87237,0.90133,0.82463,0.36664,2.04781,0.73945,0.0011015,0.0011015,0.0011015
8,570.688,0.48391,0.62342,0.92164,0.89595,0.85358,0.92328,0.84238,0.35078,3.98506,0.72604,0.00107675,0.00107675,0.00107675
9,638.165,0.4644,0.57972,0.91334,0.85682,0.87848,0.90232,0.82492,0.34752,0.82173,0.72886,0.001052,0.001052,0.001052
10,704.505,0.45656,0.54414,0.90632,0.90696,0.92893,0.93472,0.85949,0.34324,0.58721,0.72036,0.00102725,0.00102725,0.00102725
11,772.204,0.46246,0.53322,0.90934,0.88603,0.89366,0.93259,0.85225,0.35354,1.93811,0.72715,0.0010025,0.0010025,0.0010025
12,840.089,0.43879,0.49519,0.90051,0.92157,0.91599,0.92742,0.85152,0.35071,2.25473,0.72835,0.00097775,0.00097775,0.00097775
13,906.5,0.43518,0.4861,0.90038,0.93092,0.94725,0.95884,0.88801,0.33429,2.03569,0.73129,0.000953,0.000953,0.000953
14,973.351,0.43478,0.46259,0.89848,0.94894,0.89973,0.94657,0.87344,0.32537,6.41384,0.72004,0.00092825,0.00092825,0.00092825
