epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.543,0.54746,1.51655,0.9221,0.63773,0.77223,0.79181,0.69132,0.4262,3.63775,0.74257,0.000415408,0.000415408,0.000415408
2,266.883,0.55467,0.95139,0.92382,0.87081,0.82031,0.88889,0.77906,0.44876,19.5263,0.74477,0.000823837,0.000823837,0.000823837
3,385.452,0.54718,0.87134,0.92188,0.82677,0.75667,0.87417,0.76594,0.40544,31.2005,0.74089,0.00122402,0.00122402,0.00122402
4,503.677,0.53788,0.7953,0.91999,0.80436,0.87233,0.86608,0.77368,0.37507,4.66579,0.72056,0.00121287,0.00121287,0.00121287
5,620.622,0.51645,0.71819,0.91664,0.88164,0.86713,0.90816,0.8201,0.38622,3.2879,0.73202,0.0012005,0.0012005,0.0012005
6,737.526,0.49381,0.65682,0.90827,0.90192,0.90209,0.92751,0.85289,0.34943,2.53971,0.71586,0.00118812,0.00118812,0.00118812
7,855.052,0.47671,0.59467,0.90034,0.92436,0.9247,0.94725,0.87606,0.33471,0.68691,0.71297,0.00117575,0.00117575,0.00117575
8,970.081,0.47266,0.5605,0.90038,0.96483,0.93864,0.96721,0.88667,0.36058,0.87598,0.72339,0.00116337,0.00116337,0.00116337
9,1086.2,0.46131,0.52966,0.8917,0.9426,0.92163,0.94671,0.86827,0.36477,2.80292,0.72265,0.001151,0.001151,0.001151
10,1203.28,0.44762,0.51159,0.88827,0.9059,0.90954,0.94688,0.86197,0.38034,1.38817,0.72506,0.00113863,0.00113863,0.00113863
11,1318.98,0.44629,0.49084,0.88905,0.9657,0.93759,0.96073,0.889,0.3398,1.90481,0.71211,0.00112625,0.00112625,0.00112625
12,1435.53,0.44512,0.48366,0.88697,0.91016,0.89925,0.94973,0.88269,0.32048,3.16815,0.70373,0.00111388,0.00111388,0.00111388
13,1550.77,0.43048,0.46417,0.88231,0.95195,0.94696,0.95717,0.88697,0.32614,1.75569,0.70749,0.0011015,0.0011015,0.0011015
14,1665.61,0.43386,0.45573,0.88298,0.94339,0.9387,0.95678,0.88839,0.31766,2.82142,0.70789,0.00108913,0.00108913,0.00108913
15,1780.13,0.42849,0.43889,0.88075,0.95917,0.94383,0.96202,0.89812,0.32189,3.06397,0.70689,0.00107675,0.00107675,0.00107675
16,1895.91,0.42018,0.42958,0.88101,0.96443,0.9407,0.96179,0.89503,0.31595,3.61566,0.70741,0.00106437,0.00106437,0.00106437
17,2013.68,0.41585,0.41287,0.87958,0.95995,0.93793,0.96176,0.89099,0.33332,8.22065,0.70934,0.001052,0.001052,0.001052
18,2128.95,0.4143,0.41782,0.87817,0.9542,0.93843,0.96366,0.90466,0.31152,1.23827,0.7013,0.00103962,0.00103962,0.00103962
19,2246.26,0.40914,0.40815,0.87596,0.96415,0.93741,0.96375,0.90505,0.30483,1.38975,0.70137,0.00102725,0.00102725,0.00102725
20,2366.12,0.40918,0.39336,0.87563,0.95686,0.95216,0.96874,0.90386,0.31909,3.3153,0.70385,0.00101488,0.00101488,0.00101488
21,2485.12,0.40333,0.38518,0.87412,0.9653,0.95036,0.96179,0.90318,0.30058,1.76467,0.70122,0.0010025,0.0010025,0.0010025
22,2601.03,0.39853,0.3867,0.87493,0.95918,0.95345,0.96489,0.90434,0.31198,2.59236,0.70178,0.000990125,0.000990125,0.000990125
23,2716.34,0.39949,0.37316,0.86961,0.95231,0.95902,0.9627,0.90464,0.29932,0.57761,0.70028,0.00097775,0.00097775,0.00097775
24,2832.87,0.39984,0.37913,0.87603,0.957,0.94604,0.95964,0.90388,0.29406,0.48689,0.69758,0.000965375,0.000965375,0.000965375
25,2948.06,0.39823,0.37825,0.87365,0.92633,0.92069,0.95425,0.89624,0.30113,1.20323,0.6981,0.000953,0.000953,0.000953
26,3064.91,0.39116,0.37634,0.87034,0.93193,0.9317,0.95863,0.90065,0.29019,3.27987,0.69578,0.000940625,0.000940625,0.000940625
27,3181.51,0.39229,0.3505,0.87086,0.94214,0.92441,0.95698,0.89718,0.31259,4.04969,0.70307,0.00092825,0.00092825,0.00092825
28,3297.34,0.39572,0.3716,0.87283,0.95993,0.93273,0.96175,0.9087,0.29512,3.44824,0.69755,0.000915875,0.000915875,0.000915875
29,3414.92,0.3825,0.35415,0.86878,0.95549,0.93888,0.96178,0.8978,0.3174,1.38749,0.70798,0.0009035,0.0009035,0.0009035
30,3529.56,0.38994,0.34866,0.8705,0.96236,0.95752,0.97425,0.92119,0.29287,0.98404,0.69996,0.000891125,0.000891125,0.000891125
31,3645.73,0.38234,0.35479,0.86446,0.94584,0.94503,0.97204,0.91285,0.30632,2.12643,0.71162,0.00087875,0.00087875,0.00087875
32,3761.32,0.38545,0.33625,0.86647,0.96368,0.95868,0.97546,0.92258,0.29416,0.62972,0.70055,0.000866375,0.000866375,0.000866375
33,3878,0.38282,0.33555,0.86556,0.95042,0.95793,0.95943,0.90926,0.28264,1.78996,0.69251,0.000854,0.000854,0.000854
34,3992.71,0.37889,0.33383,0.86376,0.9556,0.95358,0.96589,0.91846,0.27676,3.2219,0.69472,0.000841625,0.000841625,0.000841625
35,4107.74,0.37929,0.32901,0.86417,0.96603,0.94987,0.9617,0.90941,0.28602,3.38435,0.69598,0.00082925,0.00082925,0.00082925
36,4223.29,0.37659,0.3258,0.86462,0.96865,0.96034,0.96752,0.91676,0.29555,0.49978,0.69747,0.000816875,0.000816875,0.000816875
37,4336.73,0.37624,0.32223,0.86225,0.96261,0.94104,0.96209,0.90682,0.29409,1.63903,0.70321,0.0008045,0.0008045,0.0008045
38,4452.71,0.3755,0.31743,0.86489,0.96372,0.96032,0.9692,0.91835,0.2908,1.06933,0.69885,0.000792125,0.000792125,0.000792125
39,4567.75,0.36644,0.31409,0.86189,0.96204,0.94893,0.96798,0.91626,0.28215,2.50181,0.69271,0.00077975,0.00077975,0.00077975
40,4684.73,0.36715,0.31102,0.86206,0.96807,0.95481,0.96435,0.91318,0.2906,2.65678,0.69719,0.000767375,0.000767375,0.000767375
41,4804.58,0.36712,0.31431,0.86245,0.95833,0.94296,0.96022,0.91426,0.27405,2.85605,0.69683,0.000755,0.000755,0.000755
42,4920.28,0.3652,0.3084,0.86476,0.9668,0.94524,0.96307,0.91728,0.28223,1.66569,0.69651,0.000742625,0.000742625,0.000742625
43,5039.72,0.36795,0.30868,0.86287,0.96477,0.94742,0.95978,0.90583,0.28617,2.71377,0.69763,0.00073025,0.00073025,0.00073025
44,5158.09,0.36317,0.30162,0.86282,0.96736,0.94285,0.96172,0.91296,0.28294,3.82473,0.69815,0.000717875,0.000717875,0.000717875
45,5272.99,0.36511,0.29849,0.86124,0.96143,0.95525,0.96319,0.91456,0.28252,0.46637,0.69878,0.0007055,0.0007055,0.0007055
46,5386.77,0.36058,0.2942,0.85976,0.96034,0.9519,0.96189,0.91577,0.27662,3.31909,0.69409,0.000693125,0.000693125,0.000693125
47,5502.27,0.35888,0.2906,0.86085,0.95358,0.94788,0.96197,0.91452,0.27628,3.1937,0.69369,0.00068075,0.00068075,0.00068075
48,5615.5,0.35913,0.28923,0.85616,0.95689,0.95524,0.96216,0.91555,0.28358,3.31651,0.69756,0.000668375,0.000668375,0.000668375
49,5727.95,0.36097,0.28903,0.86188,0.96794,0.93962,0.96511,0.91576,0.28111,3.77813,0.69731,0.000656,0.000656,0.000656
50,5841.33,0.35729,0.28917,0.85962,0.96115,0.94871,0.96284,0.91384,0.28536,3.61098,0.69612,0.000643625,0.000643625,0.000643625
51,5954.15,0.35408,0.27779,0.85819,0.96606,0.95378,0.96401,0.91474,0.28287,1.91749,0.69626,0.00063125,0.00063125,0.00063125
52,6068.78,0.35505,0.27763,0.85866,0.95178,0.92297,0.9603,0.9138,0.27974,2.3102,0.6944,0.000618875,0.000618875,0.000618875
53,6182.67,0.35258,0.27915,0.8598,0.9606,0.95217,0.9755,0.93202,0.27972,1.91964,0.69618,0.0006065,0.0006065,0.0006065
54,6296.41,0.34815,0.28168,0.85858,0.97263,0.94624,0.97069,0.92481,0.28301,2.83845,0.69744,0.000594125,0.000594125,0.000594125
55,6410.87,0.34777,0.27806,0.85653,0.96152,0.95673,0.96647,0.91828,0.28083,0.81598,0.69457,0.00058175,0.00058175,0.00058175
56,6523.68,0.34575,0.26681,0.85534,0.95637,0.95061,0.97149,0.92603,0.28206,3.05159,0.70132,0.000569375,0.000569375,0.000569375
57,6638.26,0.34698,0.26508,0.85202,0.9616,0.95562,0.97004,0.92261,0.28643,1.40769,0.69911,0.000557,0.000557,0.000557
58,6751.88,0.34672,0.26725,0.85416,0.96897,0.96006,0.97216,0.92828,0.28213,0.65144,0.69509,0.000544625,0.000544625,0.000544625
59,6866.75,0.34596,0.25836,0.85461,0.96563,0.95326,0.96293,0.91704,0.2848,0.8406,0.69767,0.00053225,0.00053225,0.00053225
60,6980.13,0.34999,0.26118,0.85538,0.97352,0.95039,0.97146,0.92656,0.27741,0.97052,0.69978,0.000519875,0.000519875,0.000519875
61,7093.46,0.34267,0.25404,0.85172,0.96786,0.957,0.96381,0.91945,0.27368,1.52966,0.69629,0.0005075,0.0005075,0.0005075
62,7208.55,0.34185,0.25722,0.85232,0.97017,0.9485,0.96356,0.91849,0.27096,0.86815,0.69397,0.000495125,0.000495125,0.000495125
63,7323.02,0.34192,0.2564,0.85183,0.96786,0.96485,0.97463,0.92751,0.28025,0.45175,0.69981,0.00048275,0.00048275,0.00048275
64,7438.59,0.33868,0.25123,0.84889,0.9731,0.94874,0.9739,0.93079,0.27405,1.0496,0.69832,0.000470375,0.000470375,0.000470375
65,7555.03,0.3406,0.25341,0.84898,0.96327,0.95267,0.97412,0.93018,0.2719,1.64344,0.69305,0.000458,0.000458,0.000458
66,7668.23,0.33893,0.24667,0.85167,0.96418,0.95421,0.96228,0.91755,0.27617,1.97278,0.69647,0.000445625,0.000445625,0.000445625
67,7783.47,0.33549,0.24152,0.84886,0.96944,0.95535,0.97032,0.92477,0.27709,0.33942,0.69723,0.00043325,0.00043325,0.00043325
68,7897.91,0.33233,0.24211,0.84415,0.97284,0.9533,0.96919,0.92603,0.27897,0.53252,0.69954,0.000420875,0.000420875,0.000420875
69,8013.82,0.33647,0.24571,0.84644,0.97341,0.95199,0.96712,0.92399,0.27404,0.6852,0.69705,0.0004085,0.0004085,0.0004085
70,8127.32,0.33689,0.24068,0.84824,0.96581,0.95717,0.96571,0.9206,0.27499,1.75606,0.69749,0.000396125,0.000396125,0.000396125
71,8240.4,0.33385,0.23653,0.84827,0.96665,0.9583,0.9684,0.92385,0.27789,2.1863,0.70135,0.00038375,0.00038375,0.00038375
72,8355.15,0.33286,0.23482,0.84716,0.96647,0.96029,0.96843,0.92514,0.28183,0.95897,0.7013,0.000371375,0.000371375,0.000371375
73,8469.06,0.3321,0.2414,0.84911,0.96547,0.9533,0.96443,0.92392,0.27898,1.90375,0.69906,0.000359,0.000359,0.000359
74,8584.51,0.32681,0.23292,0.84745,0.96111,0.95244,0.96412,0.92465,0.27481,1.58845,0.69414,0.000346625,0.000346625,0.000346625
75,8698.04,0.32539,0.23196,0.84715,0.96097,0.96154,0.96185,0.92195,0.27799,0.73369,0.69885,0.00033425,0.00033425,0.00033425
76,8811.61,0.3253,0.22794,0.84548,0.95995,0.95648,0.96264,0.9211,0.27522,0.94547,0.70057,0.000321875,0.000321875,0.000321875
77,8925.71,0.32244,0.22131,0.84458,0.96722,0.94598,0.96604,0.92666,0.27371,0.61678,0.70187,0.0003095,0.0003095,0.0003095
78,9039.14,0.32228,0.22274,0.84671,0.96915,0.95229,0.9625,0.92018,0.27836,0.82889,0.70042,0.000297125,0.000297125,0.000297125
79,9153.45,0.32535,0.22373,0.84705,0.95487,0.95969,0.96506,0.92455,0.27921,0.78886,0.70109,0.00028475,0.00028475,0.00028475
80,9266.78,0.32523,0.22399,0.84477,0.95785,0.95247,0.96116,0.91673,0.28021,1.16448,0.69822,0.000272375,0.000272375,0.000272375
81,9380.51,0.32366,0.21948,0.84737,0.96098,0.96035,0.96111,0.91753,0.27228,0.96498,0.69972,0.00026,0.00026,0.00026
82,9496.91,0.32142,0.21887,0.84711,0.96478,0.95777,0.96031,0.91654,0.27172,1.38367,0.69435,0.000247625,0.000247625,0.000247625
83,9611.68,0.31831,0.21908,0.84155,0.96817,0.94816,0.96398,0.92461,0.27149,0.62816,0.69382,0.00023525,0.00023525,0.00023525
84,9727.18,0.31361,0.21365,0.84564,0.96581,0.95259,0.96325,0.92162,0.27207,0.80223,0.69606,0.000222875,0.000222875,0.000222875
85,9841.36,0.31736,0.20983,0.84478,0.96325,0.95314,0.96373,0.92217,0.2717,0.41228,0.69545,0.0002105,0.0002105,0.0002105
86,9955.69,0.31603,0.21243,0.84417,0.96357,0.95554,0.96351,0.92264,0.27566,0.51771,0.69916,0.000198125,0.000198125,0.000198125
87,10069.9,0.31691,0.20909,0.84257,0.95938,0.95678,0.96367,0.92401,0.27511,1.81752,0.69836,0.00018575,0.00018575,0.00018575
88,10183.7,0.3118,0.2088,0.84467,0.96224,0.95455,0.96749,0.92733,0.27453,2.32853,0.69559,0.000173375,0.000173375,0.000173375
89,10299.5,0.31129,0.20549,0.84613,0.96586,0.95502,0.96337,0.9235,0.27506,2.34371,0.69584,0.000161,0.000161,0.000161
90,10414.5,0.31521,0.20279,0.84738,0.96482,0.95047,0.96409,0.92477,0.27277,2.02407,0.6957,0.000148625,0.000148625,0.000148625
91,10530.7,0.28045,0.15054,0.79859,0.96304,0.95225,0.96616,0.92768,0.2741,2.25779,0.69881,0.00013625,0.00013625,0.00013625
92,10644.3,0.2795,0.14882,0.80115,0.9643,0.94906,0.96228,0.92372,0.27413,1.24882,0.69915,0.000123875,0.000123875,0.000123875
93,10755.7,0.27566,0.14857,0.79824,0.96671,0.9466,0.96191,0.92282,0.27792,0.68439,0.69604,0.0001115,0.0001115,0.0001115
94,10867.8,0.27736,0.1465,0.79544,0.9678,0.94672,0.96498,0.92658,0.27936,0.63633,0.69618,9.9125e-05,9.9125e-05,9.9125e-05
95,10979,0.27376,0.14291,0.79537,0.96038,0.95244,0.96424,0.92612,0.28074,0.70354,0.6962,8.675e-05,8.675e-05,8.675e-05
96,11090.3,0.27175,0.14153,0.79549,0.96341,0.951,0.9636,0.92479,0.27773,0.71323,0.69538,7.4375e-05,7.4375e-05,7.4375e-05
97,11203.1,0.27026,0.14048,0.79483,0.96369,0.94797,0.96338,0.92521,0.27678,0.68411,0.69644,6.2e-05,6.2e-05,6.2e-05
98,11314.6,0.27137,0.13858,0.7945,0.95984,0.95341,0.96344,0.92381,0.27729,0.84918,0.69686,4.9625e-05,4.9625e-05,4.9625e-05
99,11426.7,0.26923,0.1386,0.79537,0.96008,0.9514,0.96343,0.92382,0.27715,0.84865,0.69715,3.725e-05,3.725e-05,3.725e-05
100,11539.1,0.26848,0.13483,0.79469,0.96563,0.94908,0.96481,0.92534,0.2774,1.00618,0.69726,2.4875e-05,2.4875e-05,2.4875e-05
