epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.37,0.90845,3.03073,1.20099,0.2695,0.84633,0.3298,0.28026,0.3984,11.81,0.58869,0.0003625,0.0003625,0.0003625
2,46.2798,0.81291,1.85749,1.05066,0.20911,0.92052,0.3164,0.26504,0.41192,6.39935,0.68434,0.000730199,0.000730199,0.000730199
3,56.9945,0.81755,1.70534,1.07449,0.21408,0.77181,0.26684,0.20474,0.4514,3.49696,0.62993,0.00109047,0.00109047,0.00109047
4,67.486,0.84501,1.56206,1.04704,0.05516,0.03351,0.01874,0.00914,1.62333,4.76049,1.58874,0.00121287,0.00121287,0.00121287
5,77.3487,0.8255,1.54796,1.07117,0.19342,0.74597,0.24557,0.19788,0.46323,15.0008,0.64084,0.0012005,0.0012005,0.0012005
6,87.9602,0.84072,1.54286,1.08667,0.13415,0.27232,0.11303,0.0412,1.04424,3.24658,1.0611,0.00118812,0.00118812,0.00118812
7,99.8107,0.81133,1.48098,1.05617,0.16713,0.94267,0.20662,0.1712,0.33636,11.6387,0.57279,0.00117575,0.00117575,0.00117575
8,110.265,0.77236,1.48134,1.02932,0.19415,0.81413,0.3065,0.27107,0.34873,7.17311,0.57109,0.00116337,0.00116337,0.00116337
9,120.052,0.74032,1.44713,1.02108,0.24949,0.92345,0.35498,0.31321,0.34485,1.67254,0.57023,0.001151,0.001151,0.001151
10,130.713,0.7388,1.42871,1.01446,0.22147,0.73789,0.25801,0.18107,0.5663,7.01097,0.70544,0.00113863,0.00113863,0.00113863
11,141.287,0.7332,1.43882,1.02091,0.18351,0.62918,0.17962,0.16476,0.27366,20.1432,0.5534,0.00112625,0.00112625,0.00112625
12,151.088,0.72777,1.43755,1.00701,0.19413,0.94913,0.30854,0.27659,0.2948,6.85403,0.55163,0.00111388,0.00111388,0.00111388
13,161.391,0.74269,1.43931,1.0334,0.25448,0.97438,0.31302,0.29079,0.24353,1.5315,0.54144,0.0011015,0.0011015,0.0011015
14,171.888,0.72612,1.42654,1.00783,0.26657,0.89872,0.33801,0.30649,0.29021,5.14699,0.5504,0.00108913,0.00108913,0.00108913
15,182.519,0.65379,1.38195,0.97725,0.25455,0.92588,0.36475,0.33711,0.25386,1.50753,0.53539,0.00107675,0.00107675,0.00107675
16,192.069,0.70694,1.3805,1.00273,0.25018,0.98214,0.38277,0.34846,0.27828,0.90945,0.54286,0.00106437,0.00106437,0.00106437
