epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.498,0.56419,2.99417,1.00565,0.26479,0.8633,0.31397,0.28185,0.29908,11.1784,0.54889,0.0003625,0.0003625,0.0003625
2,49.3209,0.52691,1.82638,0.93614,0.20044,0.75352,0.27758,0.22317,0.43157,13.276,0.63764,0.000730199,0.000730199,0.000730199
3,60.2686,0.55117,1.59363,0.94329,0.25883,0.80846,0.30236,0.26467,0.34362,8.54543,0.59317,0.00109047,0.00109047,0.00109047
4,71.0759,0.57351,1.49198,0.94562,0.29005,0.06921,0.01435,0.01185,1.5322,inf,2.26746,0.00121287,0.00121287,0.00121287
5,81.6973,0.55353,1.4266,0.94231,0.12898,0.14545,0.07132,0.04982,0.6365,22.1739,0.80483,0.0012005,0.0012005,0.0012005
6,92.3348,0.53068,1.38724,0.9297,0.41543,0.65844,0.41275,0.36732,0.344,5.50333,0.59518,0.00118812,0.00118812,0.00118812
7,102.452,0.5057,1.35273,0.92549,0.20514,0.57551,0.24092,0.1848,0.59481,8.59328,0.74317,0.00117575,0.00117575,0.00117575
8,113.161,0.49338,1.3025,0.91669,0.42096,0.91852,0.50908,0.44694,0.32836,2.99171,0.58117,0.00116337,0.00116337,0.00116337
9,124.087,0.48808,1.24784,0.91805,0.35602,0.92431,0.52108,0.46757,0.30618,8.37703,0.56449,0.001151,0.001151,0.001151
10,134.905,0.47097,1.17892,0.90648,0.2067,0.49307,0.38138,0.32368,0.42774,5.52092,0.62931,0.00113863,0.00113863,0.00113863
11,145.678,0.45466,1.18304,0.89697,0.4344,0.85123,0.54258,0.50219,0.29243,2.00976,0.56064,0.00112625,0.00112625,0.00112625
12,155.774,0.47246,1.12965,0.89679,0.29928,0.92025,0.54229,0.48898,0.26442,1.98473,0.55971,0.00111388,0.00111388,0.00111388
13,166.39,0.46836,1.14821,0.91317,0.39984,0.91592,0.52588,0.49234,0.24074,2.45422,0.54564,0.0011015,0.0011015,0.0011015
14,177.026,0.45391,1.15504,0.8951,0.39842,0.85364,0.57294,0.53805,0.22971,2.15397,0.54032,0.00108913,0.00108913,0.00108913
15,187.968,0.42497,1.1115,0.88455,0.375,0.92939,0.56664,0.53006,0.2372,1.00828,0.54646,0.00107675,0.00107675,0.00107675
16,198.711,0.43445,1.12175,0.88499,0.42199,0.97034,0.5563,0.51971,0.234,0.98654,0.54002,0.00106437,0.00106437,0.00106437
17,210.031,0.42954,1.0756,0.88564,0.4704,0.89352,0.56531,0.53506,0.22107,0.88712,0.53593,0.001052,0.001052,0.001052
18,219.987,0.40884,1.06647,0.8827,0.39602,0.93487,0.58433,0.54743,0.23042,0.65489,0.53062,0.00103962,0.00103962,0.00103962
19,230.623,0.4083,1.05141,0.86806,0.47485,0.85948,0.59747,0.57009,0.21211,0.672,0.53007,0.00102725,0.00102725,0.00102725
20,241.351,0.40569,1.04995,0.88224,0.41363,0.97485,0.56079,0.52724,0.22407,1.08881,0.53105,0.00101488,0.00101488,0.00101488
21,252.038,0.4174,1.04835,0.87912,0.35769,0.78907,0.57631,0.54149,0.21639,1.0443,0.53361,0.0010025,0.0010025,0.0010025
22,262.82,0.41727,1.04927,0.9009,0.34766,0.9154,0.57094,0.5387,0.20726,2.2823,0.52823,0.000990125,0.000990125,0.000990125
23,272.764,0.42492,1.05479,0.88281,0.5176,0.93,0.61357,0.57894,0.22317,0.64425,0.53135,0.00097775,0.00097775,0.00097775
24,283.693,0.41008,1.04073,0.88931,0.48161,0.96131,0.58405,0.56464,0.20791,0.85521,0.53255,0.000965375,0.000965375,0.000965375
25,294.431,0.39182,1.02163,0.87912,0.49416,0.97485,0.55359,0.53,0.21294,0.63616,0.5308,0.000953,0.000953,0.000953
26,305.215,0.39008,1.01062,0.87225,0.47675,0.97485,0.58575,0.55929,0.20555,0.63622,0.53225,0.000940625,0.000940625,0.000940625
27,316.201,0.3953,0.99378,0.88319,0.47614,0.85373,0.61474,0.58568,0.19833,0.60334,0.52624,0.00092825,0.00092825,0.00092825
28,326.204,0.39298,1.03908,0.8737,0.41965,0.89843,0.61515,0.58398,0.21396,0.72935,0.52882,0.000915875,0.000915875,0.000915875
29,336.802,0.39028,1.0182,0.87267,0.44579,0.97,0.61551,0.59459,0.17846,1.32275,0.52297,0.0009035,0.0009035,0.0009035
30,347.649,0.39466,0.99724,0.8737,0.49239,0.88636,0.60375,0.58032,0.1982,1.12175,0.52428,0.000891125,0.000891125,0.000891125
31,358.333,0.3864,0.99834,0.86954,0.45846,0.98766,0.60276,0.58379,0.20092,0.6819,0.52734,0.00087875,0.00087875,0.00087875
32,369.028,0.37248,0.9942,0.86392,0.51197,0.97052,0.63951,0.61128,0.20093,0.60659,0.52607,0.000866375,0.000866375,0.000866375
33,379.763,0.36029,0.94037,0.86367,0.48797,0.96809,0.62576,0.60698,0.1982,0.58585,0.52936,0.000854,0.000854,0.000854
34,389.996,0.38547,0.98303,0.87188,0.5304,0.95569,0.64083,0.61788,0.18848,0.64306,0.52934,0.000841625,0.000841625,0.000841625
35,400.791,0.35527,0.90483,0.85624,0.53547,0.90061,0.67194,0.64856,0.18648,0.54984,0.52701,0.00082925,0.00082925,0.00082925
36,411.629,0.36325,0.92475,0.8618,0.49086,0.97021,0.66387,0.64205,0.18767,0.63048,0.52893,0.000816875,0.000816875,0.000816875
37,422.286,0.3652,0.91283,0.86934,0.53798,0.9115,0.72502,0.70565,0.17782,0.53631,0.52194,0.0008045,0.0008045,0.0008045
38,433.381,0.36522,0.92936,0.85742,0.57457,0.91786,0.73182,0.71266,0.19158,0.55872,0.52804,0.000792125,0.000792125,0.000792125
39,443.543,0.35241,0.90739,0.86547,0.70629,0.72959,0.76771,0.74246,0.18381,0.54878,0.52998,0.00077975,0.00077975,0.00077975
40,454.232,0.37199,0.88617,0.87316,0.59973,0.84875,0.6996,0.67949,0.19808,0.54979,0.53023,0.000767375,0.000767375,0.000767375
41,465.1,0.37002,0.9095,0.86031,0.58623,0.92346,0.81224,0.78377,0.17851,0.54126,0.52469,0.000755,0.000755,0.000755
42,476.159,0.35375,0.89044,0.85734,0.65243,0.85916,0.81138,0.78678,0.18724,0.47452,0.5274,0.000742625,0.000742625,0.000742625
43,486.967,0.3444,0.84806,0.86616,0.64386,0.87189,0.82605,0.80623,0.18795,0.50723,0.52481,0.00073025,0.00073025,0.00073025
44,497.41,0.35029,0.82855,0.86586,0.59095,0.96786,0.84354,0.81841,0.18507,0.4802,0.52485,0.000717875,0.000717875,0.000717875
45,507.723,0.34501,0.79053,0.86471,0.57849,0.89775,0.83467,0.8119,0.18363,0.64419,0.52477,0.0007055,0.0007055,0.0007055
46,518.634,0.33472,0.78711,0.85651,0.76167,0.82753,0.87415,0.85031,0.17513,0.43366,0.52942,0.000693125,0.000693125,0.000693125
