epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.023,0.62886,3.96582,1.06117,0.2683,0.80037,0.31781,0.29778,0.23291,28.3482,0.56305,0.0001125,0.0001125,0.0001125
2,19.5836,0.41287,2.33547,0.89539,0.25397,0.72527,0.37059,0.34291,0.2506,18.9754,0.58209,0.000235149,0.000235149,0.000235149
3,24.6433,0.42209,1.91742,0.89814,0.2964,0.84134,0.33596,0.31394,0.23899,7.15647,0.55408,0.000355322,0.000355322,0.000355322
4,29.0955,0.4145,1.775,0.89395,0.28886,0.67953,0.36697,0.32711,0.28475,3.15635,0.58074,0.000473021,0.000473021,0.000473021
5,33.0296,0.4552,1.54583,0.9002,0.3957,0.65703,0.39726,0.35216,0.36098,3.4599,0.61492,0.000588245,0.000588245,0.000588245
6,37.2008,0.45464,1.49409,0.90856,0.333,0.82343,0.46593,0.40828,0.32563,8.04705,0.59429,0.000700994,0.000700994,0.000700994
7,42.1504,0.43693,1.32958,0.89817,0.33214,0.69533,0.53149,0.46184,0.35914,2.51872,0.62968,0.000811267,0.000811267,0.000811267
8,46.2,0.40715,1.25961,0.87937,0.19806,0.573,0.23797,0.18602,0.47328,3.2073,0.69896,0.000919066,0.000919066,0.000919066
9,50.0595,0.46584,1.30389,0.91875,0.50877,0.56318,0.38226,0.26433,0.58756,8.3372,0.79762,0.00102439,0.00102439,0.00102439
10,54.858,0.44235,1.22711,0.89091,0.65076,0.6336,0.52551,0.46046,0.34415,9.45682,0.59985,0.00112724,0.00112724,0.00112724
11,58.8049,0.46147,1.11788,0.90086,0.34612,0.76088,0.44311,0.37846,0.38074,23.8021,0.62641,0.00112625,0.00112625,0.00112625
12,62.6045,0.44042,1.10048,0.88978,0.76126,0.37107,0.42787,0.36193,0.37463,10.8846,0.62191,0.00111388,0.00111388,0.00111388
13,67.7705,0.44723,1.1204,0.89065,0.34637,0.49326,0.45964,0.41062,0.32,11.3458,0.59113,0.0011015,0.0011015,0.0011015
14,72.3027,0.44797,1.12248,0.8957,0.4223,0.63926,0.58166,0.52024,0.31894,10.1747,0.59632,0.00108913,0.00108913,0.00108913
15,76.1358,0.43302,1.06726,0.89558,0.47184,0.7444,0.62006,0.56702,0.28199,8.47699,0.58156,0.00107675,0.00107675,0.00107675
16,80.3033,0.40893,1.02476,0.89253,0.25757,0.61762,0.39115,0.31122,0.30728,27.9346,0.57804,0.00106437,0.00106437,0.00106437
17,85.0285,0.41229,1.02077,0.87536,0.52855,0.37374,0.35563,0.3127,0.33748,41.4964,0.58248,0.001052,0.001052,0.001052
18,88.851,0.41525,1.03827,0.88566,0.1996,0.55326,0.30834,0.25008,0.40536,28.7509,0.63531,0.00103962,0.00103962,0.00103962
19,92.6375,0.3982,0.99691,0.87494,0.5172,0.69343,0.5394,0.48872,0.27313,8.67476,0.55258,0.00102725,0.00102725,0.00102725
20,97.6255,0.40443,1.02891,0.88232,0.63279,0.5544,0.48382,0.44661,0.26776,11.7268,0.55926,0.00101488,0.00101488,0.00101488
21,101.491,0.41428,1.00825,0.87425,0.63474,0.55925,0.50002,0.45728,0.27992,7.15026,0.57959,0.0010025,0.0010025,0.0010025
22,105.349,0.40251,1.04847,0.89047,0.37029,0.35991,0.25914,0.21801,0.6911,5.70947,0.87215,0.000990125,0.000990125,0.000990125
23,109.594,0.39387,0.98668,0.87698,0.42911,0.50873,0.4015,0.34751,0.53389,1.94912,0.74551,0.00097775,0.00097775,0.00097775
24,114.118,0.39821,0.93716,0.87496,0.63903,0.18339,0.18078,0.08853,1.57054,17.9921,1.49016,0.000965375,0.000965375,0.000965375
25,118.04,0.40064,0.95715,0.89143,0.46751,0.28457,0.27083,0.19864,nan,nan,nan,0.000953,0.000953,0.000953
26,121.988,0.36054,0.90567,0.87299,0.38561,0.25638,0.25065,0.20008,nan,nan,nan,0.000940625,0.000940625,0.000940625
27,126.979,0.3776,0.85791,0.86465,0.5799,0.48403,0.48232,0.35597,nan,nan,nan,0.00092825,0.00092825,0.00092825
28,130.816,0.3864,0.89983,0.86989,0.52716,0.71685,0.61093,0.55896,0.3484,2.43298,0.62549,0.000915875,0.000915875,0.000915875
29,134.563,0.37125,0.88763,0.86442,0.45486,0.62184,0.50383,0.4444,0.39846,1.77894,0.65434,0.0009035,0.0009035,0.0009035
30,139.403,0.36845,0.85756,0.86352,0.63495,0.76286,0.74583,0.69786,0.23179,0.75768,0.55143,0.000891125,0.000891125,0.000891125
31,143.508,0.35978,0.80748,0.85569,0.61352,0.67796,0.62602,0.57914,0.25565,1.29617,0.55421,0.00087875,0.00087875,0.00087875
32,147.289,0.38265,0.80927,0.87372,0.57891,0.8393,0.67731,0.62664,0.24049,0.96802,0.54617,0.000866375,0.000866375,0.000866375
33,151.502,0.33486,0.77391,0.84901,0.69828,0.80411,0.82071,0.76568,0.23567,1.09107,0.54808,0.000854,0.000854,0.000854
34,156.015,0.36489,0.82137,0.86205,0.73664,0.79513,0.81454,0.77159,0.22569,1.78439,0.55154,0.000841625,0.000841625,0.000841625
35,159.881,0.3676,0.79499,0.87236,0.84263,0.78872,0.86455,0.83388,0.21385,1.03794,0.54167,0.00082925,0.00082925,0.00082925
36,163.734,0.35729,0.76331,0.86222,0.79447,0.75691,0.82847,0.79866,0.20822,2.31592,0.54193,0.000816875,0.000816875,0.000816875
37,168.682,0.35149,0.74016,0.8594,0.78505,0.76447,0.82326,0.7944,0.21557,1.90085,0.54442,0.0008045,0.0008045,0.0008045
38,172.532,0.35708,0.71115,0.86817,0.75273,0.89889,0.86646,0.81785,0.21791,0.47033,0.53964,0.000792125,0.000792125,0.000792125
39,176.276,0.3572,0.76684,0.8646,0.67596,0.92998,0.88488,0.84865,0.20032,0.44945,0.53524,0.00077975,0.00077975,0.00077975
40,180.974,0.35258,0.72747,0.86185,0.73969,0.92916,0.87303,0.84232,0.20523,0.44565,0.53307,0.000767375,0.000767375,0.000767375
41,185.359,0.34344,0.6886,0.86096,0.76431,0.82889,0.84888,0.81132,0.19764,0.44298,0.53207,0.000755,0.000755,0.000755
42,189.195,0.35068,0.68643,0.87552,0.66417,0.7602,0.75523,0.71694,0.21747,0.82507,0.53811,0.000742625,0.000742625,0.000742625
43,193.231,0.33784,0.68544,0.86202,0.69472,0.81348,0.79309,0.75535,0.21994,0.71108,0.53766,0.00073025,0.00073025,0.00073025
44,198.006,0.35095,0.7279,0.85216,0.74485,0.74264,0.80581,0.77819,0.19558,1.00058,0.53276,0.000717875,0.000717875,0.000717875
45,201.864,0.31238,0.67984,0.84916,0.66279,0.76877,0.79589,0.775,0.1895,1.20419,0.53144,0.0007055,0.0007055,0.0007055
46,205.66,0.32229,0.63679,0.85273,0.74729,0.88349,0.87907,0.85269,0.18957,0.75644,0.53364,0.000693125,0.000693125,0.000693125
47,210.508,0.3391,0.61013,0.84907,0.7603,0.89013,0.899,0.86126,0.19081,0.77596,0.53518,0.00068075,0.00068075,0.00068075
48,214.648,0.34197,0.63726,0.85604,0.78008,0.87598,0.88548,0.85134,0.20747,0.46778,0.53963,0.000668375,0.000668375,0.000668375
49,218.465,0.34506,0.67483,0.84628,0.75505,0.8967,0.881,0.84697,0.19889,0.48629,0.53484,0.000656,0.000656,0.000656
50,222.629,0.32697,0.64301,0.87026,0.74803,0.89834,0.87359,0.8461,0.19102,0.54581,0.53224,0.000643625,0.000643625,0.000643625
51,227.14,0.35009,0.67006,0.866,0.86378,0.8038,0.89071,0.85941,0.19637,0.49606,0.53681,0.00063125,0.00063125,0.00063125
52,230.944,0.32236,0.59996,0.85462,0.86668,0.85552,0.94036,0.91989,0.18507,0.4848,0.53328,0.000618875,0.000618875,0.000618875
53,234.757,0.31846,0.58994,0.85732,0.84414,0.85133,0.92332,0.89339,0.1906,0.51652,0.53672,0.0006065,0.0006065,0.0006065
54,239.674,0.31099,0.55407,0.85596,0.89757,0.90616,0.95896,0.92981,0.18669,0.34123,0.53369,0.000594125,0.000594125,0.000594125
55,243.536,0.32157,0.53582,0.85061,0.69617,0.8768,0.88823,0.86119,0.18865,0.59515,0.53485,0.00058175,0.00058175,0.00058175
56,247.371,0.3226,0.59555,0.851,0.91255,0.85509,0.95915,0.93645,0.17734,0.27589,0.53106,0.000569375,0.000569375,0.000569375
57,251.844,0.30692,0.52232,0.84056,0.86007,0.88533,0.94361,0.91985,0.1842,0.36454,0.5304,0.000557,0.000557,0.000557
58,256.185,0.3263,0.53553,0.84913,0.86813,0.91776,0.93454,0.90673,0.18326,0.29664,0.53359,0.000544625,0.000544625,0.000544625
59,260.058,0.30813,0.53723,0.85536,0.80605,0.90727,0.94385,0.91064,0.18784,0.36153,0.53858,0.00053225,0.00053225,0.00053225
60,264.958,0.30779,0.56502,0.86738,0.95335,0.84579,0.9785,0.95518,0.17934,0.32072,0.53325,0.000519875,0.000519875,0.000519875
61,269.586,0.30559,0.53934,0.84544,0.93968,0.86989,0.96537,0.94636,0.1768,0.32655,0.53102,0.0005075,0.0005075,0.0005075
62,273.392,0.28924,0.51537,0.84694,0.87386,0.96115,0.98236,0.96209,0.17253,0.26811,0.53009,0.000495125,0.000495125,0.000495125
63,277.195,0.30172,0.50804,0.83829,0.99244,0.94128,0.9923,0.97419,0.17042,0.21664,0.52766,0.00048275,0.00048275,0.00048275
64,282.172,0.30561,0.53881,0.84908,0.98062,0.96027,0.99383,0.97076,0.17263,0.19706,0.52634,0.000470375,0.000470375,0.000470375
65,285.933,0.29805,0.5119,0.8457,0.89467,0.95411,0.97065,0.94804,0.17436,0.27237,0.52731,0.000458,0.000458,0.000458
66,289.782,0.29335,0.51342,0.84299,0.91954,0.92757,0.97291,0.95167,0.17109,0.26979,0.52984,0.000445625,0.000445625,0.000445625
67,294.226,0.30258,0.46881,0.85315,0.97751,0.97324,0.99329,0.96421,0.18048,0.19951,0.53265,0.00043325,0.00043325,0.00043325
68,298.725,0.29717,0.45175,0.84429,0.94541,0.90735,0.98093,0.96047,0.1772,0.24603,0.53265,0.000420875,0.000420875,0.000420875
69,302.62,0.29743,0.45992,0.84368,0.98364,0.93861,0.9909,0.97209,0.17368,0.20267,0.53136,0.0004085,0.0004085,0.0004085
70,306.547,0.29147,0.45414,0.84726,0.97092,0.9415,0.9903,0.96874,0.1751,0.19148,0.5326,0.000396125,0.000396125,0.000396125
71,311.715,0.2913,0.44741,0.84877,0.98597,0.95294,0.9926,0.96953,0.17923,0.17726,0.53286,0.00038375,0.00038375,0.00038375
72,315.546,0.29322,0.46538,0.84619,0.98754,0.96531,0.99078,0.96892,0.1712,0.17058,0.53139,0.000371375,0.000371375,0.000371375
73,319.37,0.28884,0.41443,0.84994,0.97483,0.98242,0.99154,0.96687,0.18046,0.17046,0.53452,0.000359,0.000359,0.000359
74,324.233,0.28963,0.47695,0.83602,0.98006,0.97686,0.99259,0.9709,0.17114,0.16578,0.53171,0.000346625,0.000346625,0.000346625
75,328.197,0.28549,0.3995,0.84278,0.97529,0.95935,0.99154,0.97209,0.16421,0.17265,0.5289,0.00033425,0.00033425,0.00033425
76,332.011,0.28343,0.44851,0.8441,0.98116,0.98457,0.99329,0.97364,0.16614,0.15629,0.53053,0.000321875,0.000321875,0.000321875
77,336.039,0.27788,0.39026,0.84058,0.98604,0.99741,0.99487,0.97709,0.16712,0.15705,0.53076,0.0003095,0.0003095,0.0003095
78,340.806,0.27862,0.42169,0.84175,0.98282,0.97332,0.99338,0.97549,0.16757,0.15805,0.5311,0.000297125,0.000297125,0.000297125
79,344.596,0.27871,0.3957,0.82847,0.98608,0.97485,0.99284,0.97579,0.16193,0.15684,0.52977,0.00028475,0.00028475,0.00028475
80,348.519,0.27859,0.40169,0.83792,0.99387,0.96213,0.99266,0.98142,0.15871,0.16051,0.52886,0.000272375,0.000272375,0.000272375
81,353.564,0.27552,0.35647,0.83169,0.97873,0.94667,0.99105,0.98103,0.16108,0.17781,0.52724,0.00026,0.00026,0.00026
82,357.459,0.26958,0.39168,0.84643,0.99275,0.97014,0.9934,0.978,0.15763,0.15132,0.5262,0.000247625,0.000247625,0.000247625
83,361.259,0.26538,0.384,0.82919,0.9303,0.99262,0.99171,0.97612,0.15891,0.1795,0.52636,0.00023525,0.00023525,0.00023525
84,365.877,0.27303,0.44508,0.84362,0.98621,0.97043,0.99363,0.97443,0.1575,0.15039,0.52598,0.000222875,0.000222875,0.000222875
85,370.121,0.25988,0.36826,0.83995,0.99013,0.96949,0.99406,0.97909,0.15581,0.15061,0.52564,0.0002105,0.0002105,0.0002105
86,373.993,0.26015,0.36806,0.83338,0.98732,0.97182,0.99386,0.98016,0.1521,0.15231,0.52481,0.000198125,0.000198125,0.000198125
87,377.897,0.25542,0.36041,0.82669,0.99038,0.96932,0.99407,0.98245,0.15286,0.14472,0.525,0.00018575,0.00018575,0.00018575
88,382.868,0.25803,0.35612,0.82946,0.98539,0.99153,0.9936,0.97844,0.15215,0.14839,0.52439,0.000173375,0.000173375,0.000173375
89,386.701,0.25673,0.34696,0.82018,0.98497,0.97151,0.99246,0.97914,0.15002,0.15071,0.52374,0.000161,0.000161,0.000161
90,390.509,0.27837,0.4247,0.84041,0.98661,0.97135,0.99252,0.98125,0.15062,0.1525,0.52396,0.000148625,0.000148625,0.000148625
91,397.609,0.22428,0.23017,0.80077,0.9718,0.96778,0.99031,0.9795,0.15035,0.16502,0.52447,0.00013625,0.00013625,0.00013625
92,401.453,0.21594,0.20615,0.78711,0.98387,0.96696,0.99128,0.97994,0.15037,0.15388,0.5256,0.000123875,0.000123875,0.000123875
93,405.242,0.22221,0.21919,0.78828,0.99033,0.96966,0.9915,0.97823,0.14968,0.14291,0.52549,0.0001115,0.0001115,0.0001115
94,410.209,0.21951,0.2079,0.7924,0.98965,0.96959,0.991,0.97735,0.15014,0.13888,0.52504,9.9125e-05,9.9125e-05,9.9125e-05
95,413.94,0.21177,0.21195,0.78367,0.98962,0.96973,0.99113,0.97585,0.14956,0.14056,0.52518,8.675e-05,8.675e-05,8.675e-05
96,417.731,0.21561,0.18865,0.79703,0.99053,0.96953,0.99147,0.97895,0.14839,0.13757,0.5248,7.4375e-05,7.4375e-05,7.4375e-05
97,422.019,0.21634,0.18117,0.78544,0.97794,0.98242,0.99147,0.98065,0.14878,0.1348,0.52512,6.2e-05,6.2e-05,6.2e-05
98,426.349,0.2085,0.17934,0.78205,0.97787,0.98242,0.9918,0.97801,0.1499,0.13417,0.52523,4.9625e-05,4.9625e-05,4.9625e-05
99,430.052,0.20815,0.18156,0.77451,0.97798,0.98242,0.99263,0.97893,0.15041,0.1362,0.52504,3.725e-05,3.725e-05,3.725e-05
100,433.828,0.21303,0.18494,0.79186,0.98297,0.98732,0.99301,0.97837,0.14881,0.13546,0.52495,2.4875e-05,2.4875e-05,2.4875e-05
